# Lexime bundled symbol dictionary.
# Format: reading\tleft_id\tright_id\tcost\tsurface
# POS 2643 = 記号,一般 (Mozc id.def) — same POS used for π, which places
# symbols as candidates after common kanji/katakana conversions.
#
# Cost tiers:
#   10000  Greek letters — defer to existing katakana loanwords (シグマ, アルファ…)
#           because the reranker penalizes katakana surfaces, and we don't want
#           the Greek glyph to outrank them for everyday input.
#    5000  Math operators, number sets, arrows, geometry — no strong katakana
#           competitors, so mid-cost lets the symbol sit close to the kanji.

# --- Greek letters (lowercase) ---
あるふぁ	2643	2643	10000	α
べーた	2643	2643	10000	β
がんま	2643	2643	10000	γ
でるた	2643	2643	10000	δ
いぷしろん	2643	2643	10000	ε
ぜーた	2643	2643	10000	ζ
いーた	2643	2643	10000	η
しーた	2643	2643	10000	θ
いおた	2643	2643	10000	ι
かっぱ	2643	2643	10000	κ
らむだ	2643	2643	10000	λ
みゅー	2643	2643	10000	μ
にゅー	2643	2643	10000	ν
くしー	2643	2643	10000	ξ
ぐざい	2643	2643	10000	ξ
おみくろん	2643	2643	10000	ο
ぱい	2643	2643	10000	π
ろー	2643	2643	10000	ρ
しぐま	2643	2643	10000	σ
たう	2643	2643	10000	τ
うぷしろん	2643	2643	10000	υ
ふぁい	2643	2643	10000	φ
ふぃー	2643	2643	10000	φ
かい	2643	2643	10000	χ
ぷさい	2643	2643	10000	ψ
おめが	2643	2643	10000	ω

# --- Greek letters (uppercase; visually distinct from Latin only) ---
がんま	2643	2643	10000	Γ
でるた	2643	2643	10000	Δ
しーた	2643	2643	10000	Θ
らむだ	2643	2643	10000	Λ
くしー	2643	2643	10000	Ξ
ぐざい	2643	2643	10000	Ξ
ぱい	2643	2643	10000	Π
しぐま	2643	2643	10000	Σ
うぷしろん	2643	2643	10000	Υ
ふぁい	2643	2643	10000	Φ
ぷさい	2643	2643	10000	Ψ
おめが	2643	2643	10000	Ω

# --- Set theory ---
ぞくする	2643	2643	5000	∈
ぞくさない	2643	2643	5000	∉
ふくむ	2643	2643	5000	∋
ぶぶんしゅうごう	2643	2643	5000	⊂
ぶぶん	2643	2643	5000	⊂
ぶぶんしゅうごう	2643	2643	5000	⊆
じょうしゅうごう	2643	2643	5000	⊃
じょうしゅうごう	2643	2643	5000	⊇
わ	2643	2643	5000	∪
わしゅうごう	2643	2643	5000	∪
せき	2643	2643	5000	∩
せきしゅうごう	2643	2643	5000	∩
くうしゅうごう	2643	2643	5000	∅
からしゅうごう	2643	2643	5000	∅

# --- Logic ---
にんい	2643	2643	5000	∀
すべて	2643	2643	5000	∀
そんざい	2643	2643	5000	∃
ろんりせき	2643	2643	5000	∧
ろんりわ	2643	2643	5000	∨
ひてい	2643	2643	5000	¬
ならば	2643	2643	5000	⇒
どうち	2643	2643	5000	⇔
どうかい	2643	2643	5000	⇔

# --- Comparison / equality ---
ふとうごう	2643	2643	5000	≠
ひとしくない	2643	2643	5000	≠
ほぼ	2643	2643	5000	≒
にありー	2643	2643	5000	≈
ごうどう	2643	2643	5000	≡
いか	2643	2643	5000	≦
いか	2643	2643	5000	≤
いじょう	2643	2643	5000	≧
いじょう	2643	2643	5000	≥
ずっと	2643	2643	5000	≪
ずっと	2643	2643	5000	≫

# --- Arithmetic operators ---
ぷらすまいなす	2643	2643	5000	±
まいなすぷらす	2643	2643	5000	∓
かける	2643	2643	5000	×
わる	2643	2643	5000	÷
るーと	2643	2643	5000	√
へいほうこん	2643	2643	5000	√
りっぽうこん	2643	2643	5000	∛

# --- Calculus / series ---
へんびぶん	2643	2643	5000	∂
なぶら	2643	2643	5000	∇
せきぶん	2643	2643	5000	∫
にじゅうせきぶん	2643	2643	5000	∬
しゅうせきぶん	2643	2643	5000	∮
そうわ	2643	2643	5000	∑
そうじょう	2643	2643	5000	∏
むげんだい	2643	2643	5000	∞
ゆえに	2643	2643	5000	∴
なぜなら	2643	2643	5000	∵

# --- Geometry ---
ど	2643	2643	5000	°
ふん	2643	2643	5000	′
びょう	2643	2643	5000	″
かく	2643	2643	5000	∠
すいちょく	2643	2643	5000	⊥
へいこう	2643	2643	5000	∥
さんかく	2643	2643	5000	△
しかく	2643	2643	5000	□
まる	2643	2643	5000	○
こ	2643	2643	5000	⌒

# --- Arrows ---
やじるし	2643	2643	5000	→
やじるし	2643	2643	5000	←
やじるし	2643	2643	5000	↑
やじるし	2643	2643	5000	↓
みぎ	2643	2643	5000	→
ひだり	2643	2643	5000	←
うえ	2643	2643	5000	↑
した	2643	2643	5000	↓
そうほうこう	2643	2643	5000	↔
みぎならば	2643	2643	5000	⇒
ひだりならば	2643	2643	5000	⇐

# --- Number sets (blackboard bold) ---
しぜんすう	2643	2643	5000	ℕ
せいすう	2643	2643	5000	ℤ
ゆうりすう	2643	2643	5000	ℚ
じっすう	2643	2643	5000	ℝ
ふくそすう	2643	2643	5000	ℂ
そすう	2643	2643	5000	ℙ
あれふ	2643	2643	5000	ℵ

# --- General-purpose symbols (non-emoji, BMP text characters) ---
#
# Cost tiers follow the same convention as above:
#   10000  Readings with common katakana conversions (はーと→ハート, etc.)
#    5000  No strong katakana competitors.

# --- Stars ---
ほし	2643	2643	5000	★
ほし	2643	2643	5000	☆

# --- Shapes (supplements to Geometry section above) ---
くろまる	2643	2643	5000	●
にじゅうまる	2643	2643	5000	◎
くろさんかく	2643	2643	5000	▲
くろさんかく	2643	2643	5000	▼
しろさんかく	2643	2643	5000	▽
くろしかく	2643	2643	5000	■
ひしがた	2643	2643	5000	◆
ひしがた	2643	2643	5000	◇

# --- Music ---
おんぷ	2643	2643	5000	♪
おんぷ	2643	2643	5000	♫
おんぷ	2643	2643	5000	♩
おんぷ	2643	2643	5000	♬

# --- Card suits (katakana competitors: スペード, クラブ, ハート, ダイヤ) ---
すぺーど	2643	2643	10000	♠
すぺーど	2643	2643	10000	♤
くらぶ	2643	2643	10000	♣
くらぶ	2643	2643	10000	♧
はーと	2643	2643	10000	♥
はーと	2643	2643	10000	♡
だいや	2643	2643	10000	♦
だいや	2643	2643	10000	♢

# --- Gender ---
おす	2643	2643	5000	♂
めす	2643	2643	5000	♀

# --- Check marks (katakana competitor: チェック) ---
ちぇっく	2643	2643	10000	✓
ちぇっく	2643	2643	10000	✔
ばつ	2643	2643	5000	✗
ばつ	2643	2643	5000	✘

# --- Telephone ---
でんわ	2643	2643	5000	☎
でんわ	2643	2643	5000	☏

# --- Japanese-specific ---
こめ	2643	2643	5000	※
こめじるし	2643	2643	5000	※
ゆうびん	2643	2643	5000	〒

# --- Typographic / legal ---
せくしょん	2643	2643	5000	§
ぱらぐらふ	2643	2643	5000	¶
だがー	2643	2643	5000	†
だがー	2643	2643	5000	‡
ちょさくけん	2643	2643	5000	©
とうろく	2643	2643	5000	®
